i_id,sbbh,yyzt,fx,gs,yyjssj,jd,cx,yykssj,wd,sd,cph,GPStime
801,64625128604,载客,15,众鑫,1479945600000,116.568911,新捷达,1479945600000,35.44018,0.0,鲁HT**68,1654041689000
802,64625128801,载客,179,新交运,1480032000000,116.618215,新捷达,1480032000000,35.409435,53.6,鲁HT**76,1654041689000
803,64625128503,空车,3,华通,1598313600000,116.568641,新捷达,1077753600000,35.411858,21.8,鲁HT**58,1654041689000
804,64625128408,空车,82,联运,1654387200000,116.596456,伊兰特,1465171200000,35.40537,0.0,鲁HT**87,1654041689000
805,64625129167,空车,88,新交运,1479945600000,116.598446,新捷达,1479945600000,35.407793,0.0,鲁HT**65,1654041690000
806,64625127862,空车,265,交运,1591056000000,116.614933,悦动,1070409600000,35.423,0.0,鲁HT**75,1654041690000
807,64625128139,载客,82,汇通,1655251200000,116.526598,新捷达,1466035200000,35.403941,81.4,鲁HT**80,1654041690000
808,64625129243,空车,277,华中,1654041600000,116.562426,伊兰特,1464825600000,35.402861,0.0,鲁HT**48,1654041690000
809,64625127785,空车,108,交运,1476921600000,116.780353,新捷达,1476921600000,35.53797,0.0,鲁HT**18,1654041690000
810,64625128040,空车,162,华通,1595030400000,116.571208,新捷达,1074470400000,35.402678,0.0,鲁HT**82,1654041690000
811,64625128560,空车,63,新交运,1640563200000,116.56226,奇瑞,1451260800000,35.416046,0.0,鲁HT**80,1654041690000
812,64625127912,载客,280,富达,1478304000000,116.60241,吉利帝豪,1470614400000,35.398596,58.4,HDD**68,1654041690000
813,64625128768,空车,259,众鑫,1479168000000,116.511738,铃木启悦,1479168000000,35.566948,0.0,鲁HT**05,1654041691000
814,64625129206,空车,107,北城,1547942400000,116.593841,吉利帝豪,1073001600000,35.394448,0.0,HDT**20,1654041691000
815,64625128102,空车,357,富达,1593475200000,116.610975,悦动,1070323200000,35.416855,0.0,鲁HT**17,1654041691000
816,64625127871,载客,146,交运,1609459200000,116.649813,老捷达,1073001600000,35.431866,19.8,鲁HT**39,1654041691000
817,64625128140,空车,268,交运,1647734400000,116.616286,比亚迪秦,1458518400000,35.402113,0.0,HDN**82,1654041691000
818,64625129192,空车,178,华中,1655683200000,116.609193,新捷达,1466467200000,35.44286,0.0,鲁HT**47,1654041691000
819,64625128404,空车,235,联运,1589155200000,116.56508,新捷达,1068595200000,35.396291,0.0,鲁HT**05,1654041691000
